id,name,full_address,address_key,County,eircode,x,y,Type
150,Rathdowney,"Rathdowney, Co. Laois.",Rathdowney,Laois,,227361.861,178334.461,Healthcenters
151,Stradbally,"Stradbally, Co. Laois.",Stradbally,Laois,,257045.406,196567.172,Healthcenters
152,The Swan,"The Swan, Co. Laois",The Swan,Laois,,256958.625,181851.766,Healthcenters
153,Timahoe,"Timahoe, Co. Laois.",Timahoe,Laois,,253641.406,190253.859,Healthcenters
154,Birr,"St. John's Terrace, Birr, Co. Offaly.",St. John's Terrace,Offaly,,206267.511,204859.438,Healthcenters
155,Banagher,"Cuba Avenue, Banagher, Co. Offaly.",Cuba Avenue,Offaly,,201395.797,215259.438,Healthcenters
156,Blueball,"Pallas, Blueball, Co. Offaly.",Pallas,Offaly,,225729.03,219734.83,Healthcenters
157,Cloghan,"Castle Street, Cloghan, Co. Offaly.",Castle Street,Offaly,,207726.313,219369.703,Healthcenters
158,Clonbullogue,"Clonbullogue, Co. Offaly.",Clonbullogue,Offaly,,261108.781,223506.891,Healthcenters
159,Cloneygowan,"Cloneygowan, Co. Offaly.",Cloneygowan,Offaly,,248077.047,215440.469,Healthcenters
160,Culdaff,"Main Street, Culdaff, Co. Donegal.",Main Street,Donegal,,252879.766,449241.281,Healthcenters
161,Donegal,"Donegal Hospital, Donegal Town, Co. Donegal.",Donegal,Donegal,,193655.051,378607.769,Healthcenters
162,Doochary,"Doochary, Co. Donegal.",Doochary,Donegal,,186679.19,406516.59,Healthcenters
163,Dunkineely,"Main Street, Dunkineely, Co. Donegal.",Main Street,Donegal,,176503.547,375928.25,Healthcenters
164,Church Road,"Church Road, Falcarragh, Co. Donegal.",Church Road,Donegal,,193631.172,432172.344,Healthcenters
165,St. Martins,"St. Martin's, Church Road, Falcarragh, Co. Donegal.",St. Martin's,Donegal,,193580.547,432242.063,Healthcenters
166,Fahan,"Fahan, Co. Donegal.",Fahan,Donegal,,235791.594,424854.25,Healthcenters
167,Frosses,"Frosses, Co. Donegal.",Frosses,Donegal,,184434.266,379993.469,Healthcenters
168,Ferbane,"Belmount Road, Ferbane, Co. Offaly.",Belmount Road,Offaly,,211122.5,224579.75,Healthcenters
169,Kinnity,"Castletown, Kinnity, Co. Offaly.",Castletown,Offaly,,219092.563,205307.906,Healthcenters
170,Shannonbridge,"Main Street, Shannonbridge, Co. Offaly.",Main Street,Offaly,,197012.03,225436.77,Healthcenters
171,Shinrone,"Roscrea Road, Shinrone, Co. Offaly.",Roscrea Road,Offaly,,205149.047,192574.313,Healthcenters
172,Tullamore,"Arden Road, Tullamore, Co. Offaly.",Arden Road,Offaly,,234016.624,225780.611,Healthcenters
173,Colehill,"Colehill, Co. Longford",Colehill, Longford,,221175.75,260964.33,Healthcenters
174,Drumlish,"Drumlish, Co. Longford.",Drumlish, Longford,,215111.047,285432.219,Healthcenters
175,Edgeworthstown,"Edgeworthstown, Co. Longford.",Edgeworthstown, Longford,,225856.001,271574.445,Healthcenters
176,Kilashee,"Kilashee, Co. Longford.",Kilashee, Longford,,208079.78,270174.94,Healthcenters
177,Glengad,"Glengad, Co. Donegal.",Glengad,Donegal,,252160.188,453737.344,Healthcenters
178,Killybegs,"St. Catherine's Road, Killybegs, Co. Donegal.",St. Catherine's Road,Donegal,,171202.121,376379.262,Healthcenters
179,Killygordon,"Killygordon, Co. Donegal.",Killygordon,Donegal,,220507.188,394390.063,Healthcenters
180,Kilmacrennan,"Kilmacrrennan, Co. Donegal.",Kilmacrrennan,Donegal,,214283.844,420427.844,Healthcenters
181,Lifford,"Lifford Bridge, Lifford, Co. Donegal.", Lifford,Donegal,,233256.588,398321.279,Healthcenters
182,Lanesboro,"Lanesboro, Co. Longford.",Lanesboro, Longford,,200782.27,269075.91,Healthcenters
183,Legga,"Legga, Co. Longford.",Legga, Longford,,222608.13,293779.84,Healthcenters
184,Newtowncashel,"Newtowncashel, Co. Longford.",Newtowncashel, Longford,,204187.516,259958.703,Healthcenters
185,Smear,"Smear, Co. Longford.",Smear, Longford,,226406.578,291319.75,Healthcenters
186,Ballynacargy,"Wood Row, Ballynacargy, Co. Westmeath",Wood Row,Westmeath,,230576.781,259327.234,Healthcenters
187,Castlepollard,"Castlepollard, Co. Westmeath.",Castlepollard,Westmeath,,246313.906,269871.219,Healthcenters
188,Castletown Geoghegan,"Woodside, Castletown Geoghegan, Co. Westmeath.",Woodside,Westmeath,,234331.141,243732.016,Healthcenters
189,Clonmellon,"Killallon Road, Clonmellon, Co. Westmeath.",Killallon Road,Westmeath,,264591.094,268783.594,Healthcenters
190,Delvin,"Main Street, Delvin, Co. Westmeath.",Main Street,Westmeath,,260172.047,262983.063,Healthcenters
191,Finea,"Finea, Co. Westmeath.",Finea,Westmeath,,240638.219,281171.094,Healthcenters
192,Glasson,"Glasson, Co. Westmeath.",Glasson,Westmeath,,209067.764,246877.049,Healthcenters
193,Malin,"Malin, Co. Donegal.",Malin,Donegal,,246907.609,450195.125,Healthcenters
194,Manorcunningham,"Manorcunningham, Co. Donegal.",Manorcunningham,Donegal,,224238.078,411451.156,Healthcenters
195,Milford,"Main Street, Milford, Co. Donegal.",Main Street,Donegal,,219380.97,426660.78,Healthcenters
196,Mountcharles,"Station Road, Mountcharles, Co. Donegal.",Station Road,Donegal,,187626.922,377371.688,Healthcenters
197,Kilbeggan,"Mullingar Road, Kilbeggan, Co. Westmeath.",Mullingar Road,Westmeath,,233519.406,235530.641,Healthcenters
198,Killucan,"Rathwire Lower, Killucan, Co. Westmeath.",Rathwire Lower,Westmeath,,256742.641,251361.844,Healthcenters
199,Rochfortsbridge,"79 Derrygreenagh Park, Rochfortsbridge, Co. Westmeath.", Rochfortsbridge,Westmeath,,246834.44,241264.22,Healthcenters
200,Streete,"Cornacauske, Streete, Co. Westmeath.",Cornacauske,Westmeath,,233728.13,270475.19,Healthcenters
201,Ballsgrove,"Ballsgrove Estate, Ballsgrove, Drogheda, Co. Louth.",Ballsgrove Estate,Louth,,308223.679,274776.933,Healthcenters
202,Haymarket,"The Haymarket, John Street, Drogheda, Co. Louth.",The Haymarket,Louth,,308853.313,274918.844,Healthcenters
203,Castlebellingham,"Castlebellingham, Co. Louth.",Castlebellingham,Louth,,305757.844,295750.938,Healthcenters
204,Dunleer,"School Lane, Dunleer, Co. Louth.",School Lane,Louth,,305763.969,287649.563,Healthcenters
205,Market Street,"Market Street, Dundalk, Co. Louth.",Market Street,Louth,,304951.922,307428.6,Healthcenters
206,Dublin Road,"Dublin Road, Dundalk, Co. Louth.",Dublin Road,Louth,,305040.198,305496.508,Healthcenters
207,Ravensdale,"Ravensdale, Co. Louth.",Ravensdale,Louth,,308200.188,312390.688,Healthcenters
208,Termonfeckin,"Termonfeckin, Co. Louth.",Termonfeckin,Louth,,313809.813,280135.625,Healthcenters
209,Corduff,"Corduff Green, Blanchardstown, Dublin 15.",Corduff Green,Dublin,,308052.875,239802.828,Healthcenters
210,Lisburn Street,"Lisburn Street, Dublin 7.",Lisburn Street,Dublin,,315047.281,234756.609,Healthcenters
211,Roselawn,"Roselawn Road, Castleknock, Dublin 15.",Roselawn Road,Dublin,,307679.641,238326.038,Healthcenters
212,Muff,"Muff, Co. Donegal.",Muff,Donegal,,246680.406,424670,Healthcenters
213,Newtowncunningham,"Colehill, Newtowncunningham, Co. Donegal.",Colehill,Donegal,,231616.984,416806.656,Healthcenters
214,Pettigo,"Main Street, Pettigo, Co. Donegal.",Main Street,Donegal,,210844.172,366786.219,Healthcenters
215,Quigleys Point,"Quigleys Point, Inishowen, Co. Donegal.", Inishowen,Donegal,,251324.406,431088.531,Healthcenters
216,Raphoe,"Meetinghouse Street, Raphoe, Co. Donegal.",Meetinghouse Street,Donegal,,225558.688,402904.719,Healthcenters
217,Mohill,"Water Street, Mohill, Carrick on Shannon, Co. Leitrim.",Water Street,Leitrim,,208889.063,297114.25,Healthcenters
218,Ballymun,"Ballymun Health Care Facility, Civic Offices, Ballymun Road, Dublin 11", Ballymun Road,BallymunRoad,,315552,239738,Healthcenters
219,East Wall,"Church Road, Dublin 3.",Church Road,Dublin,,317471.803,234957.758,Healthcenters
220,Killester,"Killester Avenue, Dublin 5.",Killester Avenue,Dublin,,319008.351,237834.415,Healthcenters
221,Marino,"1A Griffith Avenue, Dublin 9.",Griffith Avenue,Dublin,,318016.453,236772.703,Healthcenters
222,Summerhill,"90 Summerhill, Dublin 1.",Summerhill,Dublin,,316430.844,235404.094,Healthcenters
223,Darndale,"Darndale Primary Care Centre, Darndale/Belcamp Village Centre, Darndale, Dublin 17.", Darndale,Darndale,,320150.563,240531.625,Healthcenters
224,Donabate,"St. Patrick's Terrace, Donabate, Co. Dublin.",St. Patrick's Terrace,Dublin,,323028.663,249968.009,Healthcenters
225,Edenmore,"Edenmore Shopping Centre, Edenmore Park, Raheny, Dublin 5.", Raheny,Raheny,,320958.055,239073.707,Healthcenters
226,Rathmullan,"Rathmullan, Co. Donegal.",Rathmullan,Donegal,,229795.313,427699.406,Healthcenters
227,Stranorlar,"Pound Street, Stranorlar, Co. Donegal.",Pound Street,Donegal,,215079.625,395271.25,Healthcenters
228,St. Johnston,"St. Johnston Resource Centre, Chapel Road, St. Johnston, Co. Donegal.", Chapel Road,Donegal,,234400.188,409623.094,Healthcenters
229,Tamney,"Tamney, Co. Donegal.",Tamney,Donegal,,219729.922,439163.813,Healthcenters
230,Ballymote,"Fairgreen Road, Ballymote, Co. Sligo.",Fairgreen Road,Sligo,,166417.906,315786.594,Healthcenters
231,Carrigeens,"Carrigeens, Ballinful, Co. Sligo.",Carrigeens,Sligo,,160455.781,345275.25,Healthcenters
232,Cliffoney,"Cliffoney, Co. Sligo.",Cliffoney,Sligo,,170685.69,353650.59,Healthcenters
233,Collooney,"Lower Main Street, Collooney, Co. Sligo.",Lower Main Street,Sligo,,168096.875,326398.938,Healthcenters
234,Oldtown,"Clonmethan, Oldtown, Co. Dublin.",Clonmethan,Dublin,,311621.094,253337.313,Healthcenters
235,Portmarnock,"Strand Shopping Centre, Portmarnock, Co. Dublin.", Portmarnock,Dublin,,323803.281,242763,Healthcenters
236,Raheny,"33 Main Street, Raheny, Dublin 5.",Main Street,Dublin,,321483.004,238066.99,Healthcenters
237,Daisy Hill,"Daisy Hill, Ballyconnell, Co. Cavan.",Daisy Hill,Cavan,,227421.98,318482.5,Healthcenters
238,Coolaney,"Coolaney, Co. Sligo.",Coolaney,Sligo,,160343.891,324734.531,Healthcenters
239,Geevagh,"Ballynashee, Geevagh, Co. Sligo.",Ballynashee,Sligo,,183945.938,316896.219,Healthcenters
240,Gurteen,"Rathmadder, Gurteen, Co. Sligo.",Rathmadder,Sligo,,166060.234,305083.5,Healthcenters
241,Riverstown,"Cuiltylough, Riverstown, Co. Sligo.", Riverstown,Sligo,,174332.313,320447.5,Healthcenters
242,Skreen,"Gerrib Little, Skreen, Co. Sligo.",Gerrib Little,Sligo,,154254.11,332906.03,Healthcenters
243,Tubbercurry,"Tubbercurry, Co. Sligo.",Tubbercurry,Sligo,,140748.578,309864.594,Healthcenters
244,Blacklion,"Main Street, Blacklion.",Main Street,Dublin,,207993.61,338095.38,Healthcenters
245,Carrick on Shannon,"Community Care Offices, Leitrim Road, Carrick on Shannon, Co. Leitrim", Leitrim Road,CarrickonShannon,,194077.151,299934.575,Healthcenters
246,Carrigallen,"Clooncorick, Carrigallen, Co. Leitrim",Clooncorick,Leitrim,,223632.203,303111.344,Healthcenters
247,Deanery Street,"Deanery St, Belturbet",Deanery St,Cavan,,236692.609,317146.406,Healthcenters
248,Drumalee,"Drumalee Cross, Cavan Town",Drumalee Cross,Cavan,,242394.719,305974.813,Healthcenters
249,Church View,"Church Street, Cavan",Church Street,Cavan,,242023.458,305251.365,Healthcenters
250,Corlough,"Corlough, Co Cavan",Corlough,Cavan,,214840.625,319759.25,Healthcenters
251,Drumkeerin,"Lugmeen, Drumkeerin, Co. Leitrim.",Lugmeen,Leitrim,,190801.063,324379.375,Healthcenters
252,Drumshanbo,"Ballinamore Road, Drumshambo, Co. Leitrim.",Ballinamore Road,Leitrim,,197694.016,310871.344,Healthcenters
253,Glenfarne,"Brockagh Lower, Glenfarne, Co. Leitrim.",Brockagh Lower,Leitrim,,200979.891,337310.156,Healthcenters
254,Kiltyclogher,"Main Street, Kiltyclogher, Co. Leitrim.",Main Street,Leitrim,,197557.453,345241,Healthcenters
255,Kinlough,"Kinlough, Co. Leitrim.",Kinlough,Leitrim,,181465.12,355604.12,Healthcenters
256,Darley,"Fairgreen, Cootehill, Co. Cavan",Fairgreen,Cavan,,260033.344,314395.125,Healthcenters
257,Kilcogy,"Kilcogy Village, Co. Cavan",Kilcogy Village,Cavan,,237923.19,286560.63,Healthcenters
258,Killeshandra,"Railway Road, Killeshandra, Co. Cavan.",Railway Road,Cavan,,230933.516,307244.719,Healthcenters
259,Kilnaleck,"Realtog Centre -  Kilnaleck, Co. Cavan.", Kilnaleck,Cavan,,244754.88,290282.13,Healthcenters
260,Lisdaran,"Lisdaran, Co. Cavan",Lisdaran,Cavan,,241552.078,306234.594,Healthcenters
261,Loch Gowna,"Loch Gowna, Co. Cavan.",Loch Gowna,Cavan,,230530.8,291847.75,Healthcenters
262,Lynton House,"Main Street, Cavan",Main Street,Cavan,,241887.285,304995.453,Healthcenters
263,Mountain Lodge,"Mountain Lodge, Cootehill, Co. Cavan",Mountain Lodge,Cavan,,258479.234,303801.844,Healthcenters
264,Graiguenamanagh,"Convent Lane, Graiguenamanagh, Co. Kilkenny.",Convent Lane,Kilkenny,,270992.7805,143885.9499,Healthcenters
265,Mullagh,"Mullagh, Kells, Co. Meath",Mullagh,Meath,,269275.63,285275.59,Healthcenters
266,Shercock,"Fair Green, Shercock, Co. Cavan.",Fair Green,Cavan,,272499.375,305554.531,Healthcenters
267,Stradone,"Community Resource Centre, Stradone, Co. Cavan.", Stradone,Cavan,,250110.609,304015,Healthcenters
268,Newtowngore,"Newtowngore, Carrick on Shannon, Co. Leitrim",Newtowngore,Leitrim,,221215.7,310366.5,Healthcenters
269,Dromod,"Station Road, Dromod, Co. Leitrim.",Station Road,Leitrim,,205436.125,289833.844,Healthcenters
270,Broadford,"O'Shea's Acres, Broadford, Co. Clare.", Broadford,Clare,,157305.219,173194.047,Healthcenters
271,Clarecastle,"Old Road, Clarecastle, Co. Clare.",Old Road,Clare,,134905.168,174034.329,Healthcenters
